team	OPRE	DPRE	off_aPPD	def_aPPD	net_aPPD	AP
UCLA	-0.3279936000897535	0.5165807656120227	0.03673748879791648	0.23786887301464527	-0.20113138421672877	NR
UMass	0.09968566008891344	0.8042135126594437	-0.4967250183542364	0.9836337322679347	-1.4803587506221711	NR
UNLV	-0.1860255186375275	0.9358464031165568	-0.16679749685988526	1.3309316316907758	-1.497729128550661	NR
USC	-0.07304433090194139	-0.1765271867330343	-0.3054797932775168	-0.4968776738089273	0.1913978805314105	NR
UT San Antonio	-1.0980998048424029	0.30909586813954615	-1.2672947395542735	0.8608140638665989	-2.128108803420872	NR
UTEP	-0.65566875702648	0.1992154498159949	-1.0828417361319191	0.6983076312243552	-1.7811493673562744	NR
Utah	0.1689103352397822	-0.5097795672900125	0.3331139598805155	-0.7057974638162003	1.0389114236967159	NR
Utah State	0.724551198494828	-0.9328836321900983	0.3692582747170454	-0.5894345037442961	0.9586927784613415	NR
Vanderbilt	-0.0034445512588718156	0.17414146062375122	0.7286619244657391	-0.206938912737592	0.9356008372033311	NR
Virginia	0.11633971142379239	-0.11162520817442398	-0.16108421735955752	-0.34043861733654707	0.17935439997698954	NR
Virginia Tech	-0.1816884999364431	0.10077703861847345	-0.17144751602953684	0.08851216186309313	-0.25995967789262997	NR
Wake Forest	-0.19249454229606822	0.34668620877203565	0.07297414960251299	0.42534398868710876	-0.3523698390845958	NR
Washington	0.23658167277555858	-0.5345172675493157	0.5419537296352429	-0.5989517992570761	1.1409055288923189	NR
Washington State	1.1647104363201393	-0.12891875546674772	1.2956296300173065	0.23548078918106188	1.0601488408362445	NR
West Virginia	0.9045216921935941	-0.15073664618138108	1.2102948313222568	-0.3855940445793073	1.5958888759015641	NR
Western Kentucky	-0.5973697195192482	0.24819033719581204	-1.1450819613312753	0.7324496779707256	-1.877531639302001	NR
Western Michigan	0.3115335902301242	0.4678912805183801	0.0025117523133070183	0.4187784473327637	-0.4162666950194567	NR
Wisconsin	0.4720855691956322	-0.28681662115204226	0.5309330598485578	-0.1444373422535361	0.6753704021020939	NR
Wyoming	-0.6216535059104398	-0.18809401168501774	-0.6431734232270611	-0.3266428762451528	-0.31653054698190825	NR
